Variable,Level,Overall,Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,"Cystic, Mucinous and Serous Neoplasms",Ductal and Lobular Neoplasms
Smoking Status,Current Reformed Smoker for < or = 15 yrs,542 (33.8%),23 (32.4%),510 (34.9%),5 (8.6%),4 (33.3%)
Smoking Status,Current Reformed Smoker for > 15 yrs,429 (26.7%),37 (52.1%),372 (25.4%),18 (31.0%),2 (16.7%)
Smoking Status,"Current Reformed Smoker, Duration Not Specified",10 (0.6%),0 (0.0%),10 (0.7%),0 (0.0%),0 (0.0%)
Smoking Status,Current Smoker,349 (21.8%),4 (5.6%),332 (22.7%),13 (22.4%),0 (0.0%)
Smoking Status,Lifelong Non-Smoker,225 (14.0%),6 (8.5%),195 (13.3%),18 (31.0%),6 (50.0%)
Smoking Status,Not Reported,44 (2.7%),1 (1.4%),39 (2.7%),4 (6.9%),0 (0.0%)
Smoking Status,Unknown,5 (0.3%),0 (0.0%),5 (0.3%),0 (0.0%),0 (0.0%)
Smoking Status,Total,1604 (100.0%),71 (100.0%),1463 (100.0%),58 (100.0%),12 (100.0%)
Pathologic Stage,'--,607 (36.4%),22 (31.0%),558 (36.6%),22 (37.9%),5 (41.7%)
Pathologic Stage,Stage I,17 (1.0%),2 (2.8%),15 (1.0%),0 (0.0%),0 (0.0%)
Pathologic Stage,Stage IA,281 (16.9%),13 (18.3%),264 (17.3%),4 (6.9%),0 (0.0%)
Pathologic Stage,Stage IB,279 (16.7%),15 (21.1%),258 (16.9%),4 (6.9%),2 (16.7%)
Pathologic Stage,Stage II,5 (0.3%),0 (0.0%),5 (0.3%),0 (0.0%),0 (0.0%)
Pathologic Stage,Stage IIA,114 (6.8%),2 (2.8%),104 (6.8%),8 (13.8%),0 (0.0%)
Pathologic Stage,Stage IIB,148 (8.9%),2 (2.8%),123 (8.1%),18 (31.0%),5 (41.7%)
Pathologic Stage,Stage III,2 (0.1%),0 (0.0%),2 (0.1%),0 (0.0%),0 (0.0%)
Pathologic Stage,Stage IIIA,153 (9.2%),13 (18.3%),138 (9.0%),2 (3.4%),0 (0.0%)
Pathologic Stage,Stage IIIB,17 (1.0%),0 (0.0%),17 (1.1%),0 (0.0%),0 (0.0%)
Pathologic Stage,Stage IV,44 (2.6%),2 (2.8%),42 (2.8%),0 (0.0%),0 (0.0%)
Pathologic Stage,Total,1667 (100.0%),71 (100.0%),1526 (100.0%),58 (100.0%),12 (100.0%)
Primary Site,Bronchus and lung,1667 (100.0%),71 (100.0%),1526 (100.0%),58 (100.0%),12 (100.0%)
Primary Site,Total,1667 (100.0%),71 (100.0%),1526 (100.0%),58 (100.0%),12 (100.0%)
Follow-up Response,'--,706 (44.0%),31 (43.7%),646 (44.2%),24 (41.4%),5 (41.7%)
Follow-up Response,TF-Tumor Free,491 (30.6%),28 (39.4%),444 (30.4%),16 (27.6%),3 (25.0%)
Follow-up Response,Unknown,77 (4.8%),5 (7.0%),68 (4.7%),4 (6.9%),0 (0.0%)
Follow-up Response,WT-With Tumor,329 (20.5%),7 (9.9%),304 (20.8%),14 (24.1%),4 (33.3%)
Follow-up Response,Total,1603 (100.0%),71 (100.0%),1462 (100.0%),58 (100.0%),12 (100.0%)
