term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.565859223038929,0.13410773735678022,7.026391025932684,2.1194396727345954e-12,1.9785767072533889,3.348368378886667
SmokingStatusCurrent Reformed Smoker for < or = 15 yrs,1.2659894509994214,0.14242867045372173,1.6559446240144597,0.09773303360087114,0.9574512866854965,1.6738760251336753
SmokingStatusLifelong Non-Smoker,0.9109348117437757,0.17850963408199372,-0.5225709053449884,0.6012728917625203,0.6427128407871519,1.2947708414738197
SmokingStatusCurrent Smoker,1.3125557265215544,0.16079119425575533,1.6914867393287938,0.09074387833898816,0.9587790288550154,1.8015651808399584
SmokingStatusNot Reported,2.9836842907705945,0.4570000299331796,2.3920323948862072,0.01675536341810821,1.306290797607171,8.077776670323363
"SmokingStatusCurrent Reformed Smoker, Duration Not Specified",2.5379116378779125,0.8037391823880748,1.1587609182719802,0.24655365187799416,0.6163307801688298,17.10642356581171
SmokingStatusUnknown,2.4320627863347433,1.1342681626437818,0.7835358602049266,0.43331250398041987,0.3459282270758364,48.39181394889085
DiseaseAcinar Cell Neoplasms,0.7146014939305049,0.25848304731169414,-1.3000088257507942,0.19359794427559904,0.4327836778851073,1.1968362046048613
"DiseaseCystic, Mucinous and Serous Neoplasms",1.0578185159892541,0.31021112337784246,0.1811952554391012,0.8562143185751131,0.5864633219516734,1.9941304398344033
DiseaseDuctal and Lobular Neoplasms,1.3003558598356153,0.6819830862908817,0.3851092066982089,0.7001565071408329,0.37499377973788955,5.993369516810922
PathologicStageStage I,0.5456088331148111,0.5049588149677581,-1.1998067266061314,0.23021441114389118,0.2046087935271571,1.5350182708254398
PathologicStageStage IA,0.5040293626058772,0.1585914157743033,-4.320036807314584,1.5600317814338363e-5,0.3692456686159256,0.6878457390706663
PathologicStageStage IB,0.5011402832189922,0.1585041829616122,-4.358681252178317,1.3084852744229422e-5,0.36716683883319445,0.6837332616146785
PathologicStageStage II,0.5170244755881832,0.9253562760005436,-0.7128768466154325,0.47592196759122296,0.08372649010862418,3.9975720312441188
PathologicStageStage IIA,0.7814188002942333,0.2290448332152101,-1.076837374723518,0.28155292491710726,0.5022356080265536,1.2355515393922791
PathologicStageStage IIB,0.9994956330086521,0.21806237268045262,-0.002313531770574371,0.9981540703660332,0.6566336594829396,1.5467371362727358
PathologicStageStage III,0.30784853285496167,1.4198499759828955,-0.8297689286500928,0.406669441375104,0.012084294459035607,7.842272585111899
PathologicStageStage IIIA,1.0691624728820592,0.21494270832742604,0.31113224017919033,0.7557000925158932,0.7069142566590048,1.6449141615611058
PathologicStageStage IIIB,0.6969670314550354,0.5499158409386322,-0.6564953091049638,0.511505484782769,0.24834733467075626,2.251287033939828
PathologicStageStage IV,2.7088535920683507,0.4871475574455674,2.045633815466653,0.04079241187148983,1.1391102151158525,8.003730257784817
